pnt_id,pnt_num,pnt_lat,pnt_lon,pnt_xrd,pnt_yrd,dates,hgt,pnt_prj_id
060D0086,848,50.962104602318476,5.98615281351623,197080,330440,2004-12-28,78.628,384=01
060D0086,848,50.962104602318476,5.98615281351623,197080,330440,2012-05-13,78.642,384=14
060D0086,848,50.962104602318476,5.98615281351623,197080,330440,2016-07-31,78.63,388=02
060D0087,849,50.96653386495896,5.981370225231634,196740,330930,1974-01-01,66.74450000000002,212W12-HLI
060D0087,849,50.96653386495896,5.981370225231634,196740,330930,1979-01-01,66.73750000000001,212W01-HLI
060D0087,849,50.96653386495896,5.981370225231634,196740,330930,1980-01-01,66.7405,212W02-HLI
060D0087,849,50.96653386495896,5.981370225231634,196740,330930,1982-03-30,66.74550000000002,212W04HHLI
060D0087,849,50.96653386495896,5.981370225231634,196740,330930,1983-03-28,66.7425,212W11-HLI
060D0087,849,50.96653386495896,5.981370225231634,196740,330930,1984-10-15,66.7405,282W00-HLI
060D0087,849,50.96653386495896,5.981370225231634,196740,330930,1987-05-30,66.74350000000001,282W13
060D0087,849,50.96653386495896,5.981370225231634,196740,330930,1988-11-24,66.7425,282W14
060D0087,849,50.96653386495896,5.981370225231634,196740,330930,1989-09-20,66.74450000000002,281W45
060D0087,849,50.96653386495896,5.981370225231634,196740,330930,1991-10-06,66.745,324=00=NAP
060D0087,849,50.96653386495896,5.981370225231634,196740,330930,1997-03-23,66.742,371=00=NAP
060D0087,849,50.96653386495896,5.981370225231634,196740,330930,1999-07-22,66.7465,375W01
060D0087,849,50.96653386495896,5.981370225231634,196740,330930,2000-05-09,66.742,382=087
060D0087,849,50.96653386495896,5.981370225231634,196740,330930,2004-12-28,66.738,384=01
060D0087,849,50.96653386495896,5.981370225231634,196740,330930,2012-05-13,66.753,384=14
060D0087,849,50.96653386495896,5.981370225231634,196740,330930,2016-07-31,66.739,388=02
060D0088,850,50.96987996636778,5.977427083570381,196460,331300,1974-01-01,58.673500000000004,212W12-HLI
060D0088,850,50.96987996636778,5.977427083570381,196460,331300,1979-01-01,58.6655,212W01-HLI
060D0088,850,50.96987996636778,5.977427083570381,196460,331300,1980-01-01,58.6685,212W02-HLI
060D0088,850,50.96987996636778,5.977427083570381,196460,331300,1981-01-01,58.6685,212W03
060D0088,850,50.96987996636778,5.977427083570381,196460,331300,1982-03-30,58.6725,212W04HHLI
060D0088,850,50.96987996636778,5.977427083570381,196460,331300,1983-03-28,58.6685,212W11-HLI
060D0088,850,50.96987996636778,5.977427083570381,196460,331300,1984-10-15,58.6665,282W00-HLI
060D0088,850,50.96987996636778,5.977427083570381,196460,331300,1987-05-30,58.6685,282W13
060D0088,850,50.96987996636778,5.977427083570381,196460,331300,1988-11-24,58.6665,282W14
060D0088,850,50.96987996636778,5.977427083570381,196460,331300,1989-09-20,58.667500000000004,281W45
060D0088,850,50.96987996636778,5.977427083570381,196460,331300,1991-10-06,58.667,324=00=NAP
060D0088,850,50.96987996636778,5.977427083570381,196460,331300,1997-03-23,58.662,371=00=NAP
060D0089,851,50.972052389190154,5.974465066763295,196250,331540,1974-01-01,63.8895,212W12-HLI
060D0089,851,50.972052389190154,5.974465066763295,196250,331540,1979-01-01,63.8835,212W01-HLI
060D0089,851,50.972052389190154,5.974465066763295,196250,331540,1980-01-01,63.8875,212W02-HLI
060D0089,851,50.972052389190154,5.974465066763295,196250,331540,1981-01-01,63.8875,212W03
060D0089,851,50.972052389190154,5.974465066763295,196250,331540,1982-03-30,63.88849999999999,212W04HHLI
060D0089,851,50.972052389190154,5.974465066763295,196250,331540,1983-03-28,63.8875,212W11-HLI
060D0089,851,50.972052389190154,5.974465066763295,196250,331540,1984-10-15,63.8845,282W00-HLI
060D0089,851,50.972052389190154,5.974465066763295,196250,331540,1987-05-30,63.8875,282W13
060D0089,851,50.972052389190154,5.974465066763295,196250,331540,1988-11-24,63.8835,282W14
060D0089,851,50.972052389190154,5.974465066763295,196250,331540,1989-09-20,63.88549999999999,281W45
060D0089,851,50.972052389190154,5.974465066763295,196250,331540,1991-10-06,63.885,324=00=NAP
060D0089,851,50.972052389190154,5.974465066763295,196250,331540,1997-03-23,63.881,371=00=NAP
060D0089,851,50.972052389190154,5.974465066763295,196250,331540,2004-12-28,63.875,384=01
060D0089,851,50.972052389190154,5.974465066763295,196250,331540,2012-05-13,63.886,384=14
